1,63.3284,-11.2841,1186.82
2,63.0048,-10.9967,1186.65
3,62.603,-11.143,1186.41
4,61.4484,-10.9505,1184.89
5,61.1462,-10.9625,1184.75
6,60.7668,-10.9399,1184.51
7,60.0569,-11.6943,1183.82
8,59.7136,-11.7069,1183.54
9,59.3982,-11.5669,1183.36
10,59.2014,-11.3066,1183.14
11,58.7536,-11.1482,1182.94
12,58.4374,-10.9131,1182.74
13,58.0954,-9.58298,1184.17
14,57.7633,-9.43118,1183.92
15,57.5439,-9.36851,1183.64
16,57.1945,-9.20786,1183.43
17,56.9056,-9.06786,1183.22
18,56.5742,-8.94619,1182.96
19,56.2658,-8.85584,1182.84
20,55.8928,-8.86575,1182.66
21,55.5415,-8.99276,1182.51
22,55.2132,-9.03738,1182.36
23,54.9313,-9.02765,1181.98
24,54.5499,-8.95116,1181.91
25,54.2507,-8.8985,1181.73
26,53.9996,-8.89857,1181.42
27,53.6818,-8.8274,1181.28
28,53.3365,-8.78543,1181.15
29,53.0569,-8.6492,1181.09
30,52.672,-8.50555,1180.92
31,52.4093,-8.38814,1180.66
32,52.0762,-8.28717,1180.54
33,51.6998,-8.16067,1180.36
34,51.3636,-8.12753,1180.28
35,51.0248,-8.10424,1180.06
36,50.7404,-8.01504,1179.87
37,50.5056,-7.99332,1179.66
38,50.2658,-7.96248,1179.49
39,50.048,-7.86774,1179.28
40,49.8518,-7.87094,1179.13
41,49.579,-7.82793,1178.93
42,49.332,-7.74876,1178.83
43,49.065,-7.62817,1178.69
44,48.7678,-7.52379,1178.64
45,48.553,-7.35935,1178.5
46,48.2891,-7.34704,1178.28
47,47.9963,-7.29237,1178.17
48,47.8614,-7.21266,1177.86
49,47.5837,-7.10528,1177.83
50,47.3251,-6.90599,1177.68
51,47.1422,-6.89953,1177.52
52,46.9351,-6.81079,1177.38
53,46.6242,-6.74271,1177.27
54,46.5164,-6.73997,1176.98
55,46.34,-6.5318,1176.89
56,46.0337,-6.50308,1176.71
57,45.8251,-6.36977,1176.61
58,45.6329,-6.35111,1176.45
59,45.416,-6.22009,1176.31
60,45.0597,-6.20754,1176.29
61,44.843,-6.14918,1176.11
62,44.5887,-5.9577,1176.05
63,44.4496,-5.89682,1175.83
64,44.2135,-5.79156,1175.7
65,43.997,-5.67431,1175.68
66,43.8339,-5.55081,1175.52
67,43.6262,-5.34384,1175.43
68,43.4415,-5.22893,1175.26
69,43.2235,-5.19207,1175.19
70,43.0561,-5.08922,1174.95
71,42.8952,-4.94202,1174.96
72,42.7424,-4.93473,1174.77
73,42.5264,-4.87054,1174.67
74,42.3236,-4.82043,1174.49
75,42.1842,-4.53799,1174.34
76,41.9631,-4.52244,1174.27
77,41.8112,-4.44796,1174.08
78,41.5837,-4.18061,1174.06
79,41.2889,-4.13542,1173.89
80,41.0569,-4.00685,1173.79
81,40.9044,-4.00601,1173.52
82,40.6773,-3.92788,1173.34
83,40.4521,-3.71937,1173.28
84,40.2988,-3.62689,1173.14
85,40.0947,-3.59272,1172.9
86,39.8925,-3.54011,1172.71
87,39.6915,-3.60826,1172.41
88,39.4675,-3.53659,1172.28
89,39.2801,-3.48515,1172.01
90,39.0958,-3.44784,1171.89
91,38.874,-3.36963,1171.57
92,38.8041,-3.29173,1171.3
93,38.6384,-3.31029,1170.99
94,38.2971,-3.11663,1170.93
95,38.1251,-3.00739,1170.59
96,37.869,-2.94171,1170.38
97,37.6368,-2.8202,1170.05
98,37.4111,-2.65487,1169.83
99,37.1597,-2.48501,1169.61
100,36.9725,-2.38356,1169.4
101,36.8271,-2.16369,1169.22
102,36.5633,-2.06231,1169.01
103,36.4109,-2.00366,1168.72
104,36.2205,-1.90356,1168.51
105,36.0208,-1.82203,1168.26
106,35.822,-1.76295,1168.05
107,35.6933,-1.7649,1167.8
108,35.542,-1.60611,1167.62
109,35.2808,-1.50786,1167.49
110,35.1036,-1.33012,1167.28
111,34.9074,-1.35965,1166.99
112,34.6748,-1.20286,1166.81
113,34.4034,-1.16634,1166.66
114,34.2407,-1.06973,1166.41
115,34.1183,-1.06961,1166.09
116,33.9207,-0.901676,1165.92
117,33.6874,-0.783014,1165.69
118,33.4573,-0.631459,1165.57
119,33.4057,-0.548601,1165.32
120,33.2156,-0.413145,1165.13
121,33.0551,-0.27441,1164.99
122,32.8305,-0.2606,1164.75
123,32.6364,-0.138477,1164.47
124,32.4242,-0.00349976,1164.31
125,32.2766,0.131173,1164.03
126,32.0133,0.215647,1163.9
127,31.806,0.289878,1163.69
128,31.6292,0.292271,1163.37
129,31.452,0.315747,1163.12
130,31.2779,0.40905,1162.97
131,31.1277,0.508126,1162.85
132,31.0009,0.570433,1162.64
133,30.8554,0.721074,1162.51
134,30.7971,0.793068,1162.35
135,30.6893,0.825746,1162.1
136,30.5685,0.927445,1161.89
137,30.5029,1.05755,1161.67
138,30.412,1.13085,1161.42
139,30.3057,1.37032,1161.23
140,30.2079,1.48052,1160.99
141,30.0662,1.69766,1160.82
142,29.9395,1.9571,1160.6
143,29.7706,2.18317,1160.44
144,29.5076,2.30982,1160.25
145,29.3313,2.48033,1160.07
146,28.977,2.71891,1160.02
147,28.5007,3.19545,1159.9
148,27.7402,3.59006,1159.7
149,26.6372,4.60854,1159.74
150,25.1483,5.85565,1159.98
151,23.4577,7.29198,1160.09
152,21.6036,8.77026,1160.31
153,19.5438,10.3926,1160.5
154,17.3905,12.0072,1160.91
155,15.3336,13.5863,1161.25
156,13.2396,15.0994,1161.64
157,11.2385,16.346,1162.25
158,9.35528,17.6235,1162.86
