Objects
100
,,Global Angle UAV_6_4:UAV_6_4,,,,,,Global Angle pendulum:pendulum,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
77,0,2.79015,1.43546,-0.0531389,114.539,-109.628,929.755,,,,,,
78,0,2.79113,1.43604,-0.052392,114.059,-109.789,929.44,,,,,,
79,0,2.79113,1.4358,-0.0517721,113.615,-109.878,929.192,,,,,,
80,0,2.79097,1.43568,-0.0508922,113.196,-109.966,928.983,,,,,,
81,0,2.79138,1.43565,-0.0506943,112.797,-109.959,928.768,,,,,,
82,0,2.79164,1.43498,-0.0499918,112.37,-109.944,928.508,,,,,,
83,0,2.79257,1.43514,-0.0504946,111.949,-110.004,928.232,,,,,,
84,0,2.79237,1.43452,-0.0511486,111.599,-110,928.013,,,,,,
85,0,2.79101,1.43352,-0.0498193,111.182,-109.918,927.895,,,,,,
86,0,2.79089,1.43331,-0.0505484,110.818,-109.868,927.662,,,,,,
87,0,2.79168,1.43297,-0.0514107,110.48,-109.846,927.418,,,,,,
88,0,2.79231,1.4326,-0.0524193,110.123,-109.83,927.156,,,,,,
89,0,2.79429,1.43237,-0.0562131,109.895,-109.841,926.778,,,,,,
90,0,2.7944,1.43343,-0.0549635,109.468,-109.938,926.535,,,,,,
91,0,2.79502,1.43163,-0.0560936,109.064,-109.891,926.445,,,,,,
92,0,2.79435,1.43199,-0.0563876,108.709,-109.908,926.213,,,,,,
93,0,2.79514,1.43167,-0.0568125,108.286,-109.922,925.987,,,,,,
94,0,2.79556,1.43133,-0.0569033,107.851,-109.949,925.783,,,,,,
95,0,2.79685,1.43218,-0.0589998,107.428,-109.942,925.426,,,,,,
96,0,2.79746,1.43165,-0.0573593,107.028,-109.94,925.265,,,,,,
97,0,2.79581,1.43044,-0.0546395,106.563,-109.894,925.297,,,,,,
98,0,2.79664,1.42953,-0.0548233,106.085,-109.914,925.081,,,,,,
99,0,2.79611,1.4296,-0.0529579,105.687,-109.863,924.895,,,,,,
100,0,2.79613,1.42916,-0.0526387,105.218,-109.798,924.74,,,,,,
101,0,2.79595,1.42922,-0.0527236,104.755,-109.739,924.494,,,,,,
102,0,2.79744,1.43019,-0.053797,104.394,-109.695,924.199,,,,,,
103,0,2.79743,1.43015,-0.0545377,103.965,-109.64,923.902,,,,,,
104,0,2.79773,1.42982,-0.0549417,103.593,-109.626,923.75,,,,,,
105,0,2.79809,1.42976,-0.0539793,103.247,-109.607,923.443,,,,,,
106,0,2.79906,1.429,-0.0564353,102.878,-109.567,923.367,,,,,,
107,0,2.79918,1.42963,-0.0574331,102.528,-109.578,923.215,,,,,,
