Objects
100
,,Global Angle UAV_6_4:UAV_6_4,,,,,,Global Angle pendulum:pendulum,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.0188388,0.0569616,3.04266,78.7321,-79.1367,906.457,,,,,,
2,0,0.0178786,0.0563756,3.04242,78.9959,-79.7315,906.715,,,,,,
3,0,0.0223236,0.051155,3.04395,79.3347,-80.2831,907.081,,,,,,
4,0,0.0202351,0.0498806,3.04317,79.491,-80.7894,907.196,,,,,,
5,0,0.0198638,0.0494424,3.04283,79.6966,-81.1882,907.462,,,,,,
6,0,0.0184058,0.0487708,3.04208,79.9881,-81.6022,907.5,,,,,,
7,0,0.0200906,0.0452646,3.04393,80.1575,-82.294,907.754,,,,,,
8,0,0.0205645,0.0473609,3.04354,80.4937,-82.6716,907.837,,,,,,
9,0,0.0208782,0.0472703,3.04308,80.7986,-83.0365,907.97,,,,,,
10,0,2.76665,1.48361,-0.0358923,80.6714,-82.6963,909.435,,,,,,
11,0,2.76766,1.48239,-0.0405812,80.9805,-83.1711,909.253,,,,,,
12,0,2.76788,1.48324,-0.0395144,81.2082,-83.6614,909.265,,,,,,
13,0,2.76867,1.48377,-0.0366171,81.478,-84.1781,909.313,,,,,,
14,0,2.76877,1.48315,-0.0385778,81.7045,-84.4557,909.451,,,,,,
15,0,2.76988,1.4835,-0.0411004,82.0825,-84.9549,909.265,,,,,,
16,0,2.76894,1.48193,-0.0420032,82.3169,-85.2723,909.327,,,,,,
17,0,2.7684,1.4808,-0.0440798,82.4921,-85.6273,909.335,,,,,,
18,0,2.7674,1.4804,-0.0441485,82.6337,-86.0856,909.253,,,,,,
19,0,2.76774,1.48073,-0.0439712,82.7619,-86.6078,909.178,,,,,,
20,0,2.76931,1.47897,-0.0421901,82.7904,-86.9363,909.323,,,,,,
